id,score_date,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease
JMAN_9037476,03-02-2023,10.0,0.0,10.0,10.0,0,0,1.0,1.0,0,0
JMAN_2464850,10-03-2023,1.0,0.0,6.0,1.0,0,0,1.0,1.0,0,0
JMAN_2457464,31-03-2023,9.0,0.0,9.0,9.0,0,1,1.0,1.0,0,0
JMAN_2447281,03-02-2023,2.0,0.0,2.0,2.0,0,0,1.0,1.0,0,0
JMAN_2457464,27-01-2023,9.0,0.0,9.0,9.0,0,0,1.0,1.0,0,0
JMAN_2450157,13-01-2023,3.0,0.0,3.0,3.0,0,0,1.0,1.0,0,0
JMAN_9027650,13-01-2023,10.0,0.0,10.0,10.0,0,0,1.0,1.0,0,0
JMAN_9041676,17-03-2023,5.0,0.0,5.0,5.0,0,1,1.0,1.0,0,0
JMAN_9014565,31-03-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9036481,24-02-2023,5.0,0.4,5.0,5.0,0,1,1.0,1.0,0,0
JMAN_9028070,24-03-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2476152,31-03-2023,2.0,1.0,2.0,2.0,0,0,1.0,1.0,0,0
JMAN_18057083,03-02-2023,1.0,0.0,,1.0,0,0,0.0,0.0,0,0
JMAN_9035528,03-02-2023,4.0,0.0,4.0,4.0,0,1,1.0,1.0,0,0
JMAN_2453581,03-03-2023,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2473799,31-03-2023,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0
JMAN_2468805,03-03-2023,3.0,0.0,3.0,3.0,0,1,1.0,1.0,0,0
JMAN_2474070,20-01-2023,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0
JMAN_11201598,24-03-2023,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0
JMAN_2379983,17-02-2023,3.0,0.0,2.0,3.0,0,0,0.666666667,0.666666667,0,0
JMAN_2457132,03-02-2023,55.0,0.327272727,52.0,53.0,0,1,1.0,0.981132075,1,0
JMAN_18409956,06-01-2023,1.0,0.0,,1.0,0,0,0.0,0.0,0,0
JMAN_18149360,20-01-2023,2.0,0.0,,2.0,0,0,0.0,0.0,0,0
JMAN_18149360,13-01-2023,2.0,0.0,,2.0,0,0,0.0,0.0,0,0
JMAN_17630843,24-03-2023,1.0,0.0,,1.0,0,0,0.0,0.0,0,0
JMAN_9079368,31-03-2023,4.0,0.25,4.0,4.0,0,1,1.0,1.0,0,0
