id,score_date,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr
JMAN_9773302,06-01-2023,115.8,117.12,0.0,1.32,0.0,0.0
JMAN_13717602,03-03-2023,1392.0,1392.0,0.0,0.0,0.0,0.0
JMAN_2468379,24-02-2023,4704.0,4704.0,0.0,0.0,0.0,0.0
JMAN_2475116,03-03-2023,852.0,828.0,-24.0,0.0,0.0,-144.0
JMAN_11710046,20-01-2023,2376.0,2376.0,0.0,0.0,0.0,0.0
JMAN_11265556,24-03-2023,6468.0,6468.0,0.0,0.0,0.0,0.0
JMAN_9034116,10-02-2023,1452.0,1848.0,396.0,0.0,0.0,0.0
JMAN_9744797,03-03-2023,180.0,180.0,0.0,0.0,0.0,0.0
JMAN_2472023,13-01-2023,672.0,672.0,0.0,0.0,0.0,0.0
JMAN_2459144,24-02-2023,4104.0,4560.0,456.0,0.0,456.0,0.0
JMAN_9810546,20-01-2023,35807.64,23760.0,-12047.64,0.0,-19893.13333,0.0
JMAN_2461321,24-03-2023,1188.0,1188.0,0.0,0.0,0.0,0.0
JMAN_10303029,13-01-2023,41400.0,41400.0,0.0,0.0,0.0,0.0
JMAN_2457086,17-03-2023,2856.0,3672.0,816.0,0.0,816.0,0.0
JMAN_2478859,13-01-2023,1368.0,1596.0,228.0,0.0,228.0,0.0
JMAN_10078002,10-03-2023,21384.0,22572.0,1188.0,0.0,1188.0,0.0
JMAN_9839217,10-03-2023,3072.0,3072.0,0.0,0.0,0.0,0.0
JMAN_9387901,13-01-2023,456.0,456.0,0.0,0.0,0.0,0.0
JMAN_2460501,10-03-2023,31392.0,40032.0,8640.0,0.0,0.0,0.0
JMAN_11272416,27-01-2023,9600.0,9600.0,0.0,0.0,0.0,0.0
JMAN_9022859,03-03-2023,228.0,228.0,0.0,0.0,0.0,0.0
JMAN_2439655,31-03-2023,60.0,60.0,0.0,0.0,0.0,0.0
JMAN_10190396,24-02-2023,18960.0,,-18960.0,0.0,0.0,-18960.0
JMAN_9552552,20-01-2023,2367.0,,-2389.8,22.8,0.0,-2389.8
JMAN_14142262,20-01-2023,4313.52,4502.88,0.0,189.36,0.0,0.0
JMAN_9275311,06-01-2023,300.0,300.0,0.0,0.0,0.0,0.0
JMAN_9003648,20-01-2023,2136.0,2136.0,0.0,0.0,0.0,0.0
JMAN_476335,17-02-2023,1128.0,1128.0,0.0,0.0,0.0,0.0
JMAN_11126390,17-02-2023,6144.0,7008.0,864.0,0.0,0.0,0.0
JMAN_9043466,24-02-2023,20923.08,21844.68,499.56,422.04,0.0,499.56
JMAN_2328487,03-03-2023,318.48,330.96,0.0,12.48,0.0,0.0
JMAN_18354320,24-03-2023,168.0,168.0,0.0,0.0,0.0,0.0
JMAN_9004984,27-01-2023,60.0,60.0,0.0,0.0,0.0,0.0
JMAN_10967092,03-03-2023,2124.0,2484.0,360.0,0.0,0.0,0.0
JMAN_9999715,24-02-2023,10620.0,10620.0,0.0,0.0,0.0,0.0
JMAN_2458864,20-01-2023,912.0,912.0,0.0,0.0,0.0,0.0
JMAN_12791979,13-01-2023,1764.0,588.0,-1176.0,0.0,-1176.0,0.0
JMAN_9008035,24-02-2023,6169.44,,-6039.93,-129.51,-4071.573333,-1803.72
JMAN_9008035,27-01-2023,6110.88,,-6039.93,-70.95,-4071.573333,-1803.72
JMAN_9203571,17-03-2023,5364.0,,-5364.0,0.0,0.0,-5364.0
JMAN_14450264,24-03-2023,3792.0,4272.0,480.0,0.0,0.0,0.0
JMAN_9669396,03-02-2023,22500.0,26820.0,4320.0,0.0,0.0,0.0
JMAN_12472512,24-02-2023,5940.0,5940.0,0.0,0.0,0.0,0.0
JMAN_9003424,17-02-2023,12412.2,12961.32,0.0,549.12,0.0,0.0
JMAN_9023808,13-01-2023,660.0,720.0,60.0,0.0,60.0,0.0
JMAN_9327351,10-02-2023,3528.0,3960.0,432.0,0.0,0.0,0.0
JMAN_18410807,20-01-2023,2100.0,2100.0,0.0,0.0,0.0,0.0
JMAN_2437417,17-03-2023,2472.0,2832.0,360.0,0.0,0.0,0.0
JMAN_9021938,24-03-2023,4296.0,5256.0,960.0,0.0,0.0,0.0
JMAN_2458020,17-03-2023,26495.64,35440.92,7641.12,1304.16,0.0,0.0
JMAN_13993883,06-01-2023,11466.12,19327.32,7680.24,180.96,2910.24,0.0
JMAN_9071046,13-01-2023,4086.6,4086.6,0.0,0.0,0.0,0.0
JMAN_9026440,17-02-2023,1480.56,1509.24,0.0,28.68,0.0,0.0
JMAN_2463960,31-03-2023,217.92,228.36,0.0,10.44,0.0,0.0
JMAN_10364413,17-03-2023,60.0,60.0,0.0,0.0,0.0,0.0
JMAN_2449317,13-01-2023,720.0,720.0,0.0,0.0,0.0,0.0
JMAN_2473478,31-03-2023,6369.72,6524.52,0.0,154.8,0.0,0.0
JMAN_2439200,03-03-2023,63.72,66.24,0.0,2.52,0.0,0.0
JMAN_2452274,13-01-2023,493.8,515.4,0.0,21.6,0.0,0.0
JMAN_18391348,03-02-2023,840.0,840.0,0.0,0.0,0.0,0.0
JMAN_2476016,24-03-2023,8916.0,108.0,-8808.0,0.0,-4956.0,-3252.0
JMAN_2453701,10-03-2023,3057.48,4384.56,1253.64,73.44,1253.856,0.0
JMAN_11265556,10-03-2023,6468.0,6468.0,0.0,0.0,0.0,0.0
JMAN_2468805,17-03-2023,324.0,396.0,72.0,0.0,0.0,0.0
JMAN_11200796,17-03-2023,5737.8,6774.6,771.48,349.08,0.0,0.0
JMAN_11118444,27-01-2023,16380.0,,-16380.0,0.0,0.0,-16380.0
JMAN_9023120,10-03-2023,1308.0,1668.0,360.0,0.0,0.0,0.0
JMAN_9383192,10-03-2023,1452.0,,-1452.0,0.0,0.0,-1452.0
JMAN_9803968,17-03-2023,2700.0,2700.0,0.0,0.0,0.0,0.0
