id,score_date,current_arr,team_plus,pro_plus,ent_plus,csat_score,num_low_sev_outages,num_high_sev_outages,num_tickets_deflected,customer_age_quarters,product_counts,crm_employee_range,region_emea,region_apac,region_amer,region_latam,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,future_arr,current_arr.1,max_seats,agent_utilization,seat_utilization,churn,arr_change_percentage,log_current_arr,log_future_arr,customer_age_years,sev_outages_ratio,total_outages,log_max_seats,csat_score_normalized
JMAN_10177857,2023-01-06,31273.56,1,1,1,100,5,0,0,9,1,50 - 99,1,0,0,0,1,0,0,0,0,31639.56,31273.56,17.0,0.117647059,1.0,0,1.170317674099143,10.350560266491142,10.362195120840006,36,0.0,5,2.8903717578961645,1.0
JMAN_2451462,2023-02-24,2604.0,1,1,0,0,12,0,0,17,4,500 - 999,0,0,1,0,0,1,1,0,0,2604.0,2604.0,8.0,0.0,0.875,0,0.0,7.865187954187467,7.865187954187467,68,0.0,12,2.1972245773362196,0.0
JMAN_9034309,2023-02-10,60.0,0,0,0,0,10,0,0,17,5,01-Sep,0,1,0,0,0,1,0,0,0,60.0,60.0,1.0,0.0,1.0,0,0.0,4.110873864173311,4.110873864173311,68,0.0,10,0.6931471805599453,0.0
JMAN_10583513,2023-02-17,203700.48,1,1,0,83,4,0,18,8,2,250 - 499,0,1,0,0,0,1,1,0,0,201960.0,203700.48,135.0,0.364341085,0.955555556,1,-0.8544309763040374,12.22441086777515,12.215829888436133,32,0.0,4,4.912654885736052,0.83
JMAN_9611076,2023-03-31,33264.0,1,1,0,0,7,0,0,15,1,Oct-49,0,0,1,0,1,0,0,0,0,36828.0,33264.0,28.0,0.0,1.0,0,10.714285714285714,10.412261072175989,10.514040857292054,60,0.0,7,3.367295829986474,0.0
JMAN_2476067,2023-01-06,672.0,1,1,0,0,5,0,0,16,5,01-Sep,0,1,0,0,0,1,0,0,0,672.0,672.0,1.0,0.0,1.0,0,0.0,6.511745329644728,6.511745329644728,64,0.0,5,0.6931471805599453,0.0
JMAN_11249333,2023-03-31,2376.0,1,1,0,100,0,0,2,6,1,50 - 99,0,0,0,1,1,0,0,0,0,0.0,2376.0,2.0,1.0,1.0,1,-100.0,7.773594467360194,0.0,24,0.0,0,1.0986122886681098,1.0
JMAN_9014743,2023-01-20,5040.0,1,1,1,0,7,0,0,17,1,100 - 249,0,0,1,0,1,0,0,0,0,5040.0,5040.0,6.0,0.166666667,1.0,0,0.0,8.525359754082631,8.525359754082631,68,0.0,7,1.9459101490553132,0.0
JMAN_2479861,2023-03-10,1707.12,1,1,0,0,0,0,0,15,3,100 - 249,1,0,0,0,1,0,0,0,0,1748.52,1707.12,2.0,0.5,1.0,0,2.4251370729649993,7.443148629491806,7.4670967435800675,60,0.0,0,1.0986122886681098,0.0
JMAN_2457215,2023-03-03,20128.44,1,1,1,0,11,0,0,17,4,100 - 249,1,0,0,0,1,0,0,0,0,20917.92,20128.44,10.0,0.1,1.0,0,3.922211557378513,9.909938699071516,9.948409291607225,68,0.0,11,2.3978952727983707,0.0
JMAN_11837797,2023-03-31,14965.2,1,1,0,100,0,0,1,6,1,250 - 499,0,0,0,1,0,1,1,0,0,15973.2,14965.2,15.0,0.333333333,1.0,0,6.735626653836901,9.613549604175226,9.678730199744518,24,0.0,0,2.772588722239781,1.0
JMAN_10747452,2023-01-06,3326.4,1,1,0,100,3,0,0,16,1,250 - 499,0,1,0,0,0,1,1,0,0,3326.4,3326.4,4.0,0.5,1.0,0,0.0,8.109946497225643,8.109946497225643,64,0.0,3,1.6094379124341003,1.0
JMAN_18391384,2023-02-10,168.0,1,0,0,0,0,0,0,17,1,01-Sep,1,0,0,0,0,1,0,0,0,168.0,168.0,1.0,0.0,0.0,0,0.0,5.1298987149230735,5.1298987149230735,68,0.0,0,0.6931471805599453,0.0
JMAN_2475116,2023-03-17,852.0,1,1,0,0,10,0,0,17,5,Oct-49,1,0,0,0,0,1,0,0,0,828.0,852.0,1.0,0.0,1.0,1,-2.8169014084507045,6.748759547491679,6.720220155135295,68,0.0,10,0.6931471805599453,0.0
JMAN_9000609,2023-02-17,14702.52,1,1,1,100,0,0,1,17,4,Oct-49,1,0,0,0,1,0,0,0,0,11973.72,14702.52,5.0,0.0,1.0,1,-18.560083577509168,9.595842199884181,9.390553039959823,68,0.0,0,1.791759469228055,1.0
JMAN_9014120,2023-02-03,857.04,1,1,0,0,0,0,0,17,1,Oct-49,1,0,0,0,0,1,0,0,0,1944.24,857.04,2.0,0.0,1.0,0,126.85522262671523,6.754650718447902,7.573140641756413,68,0.0,0,1.0986122886681098,0.0
JMAN_15081132,2023-03-03,5688.0,1,1,0,100,0,0,0,1,1,1000 - 4999,0,0,1,0,0,1,0,0,1,5688.0,5688.0,6.0,0.0,1.0,0,0.0,8.646289764750648,8.646289764750648,4,0.0,0,1.9459101490553132,1.0
JMAN_2458137,2023-03-03,1936.44,1,0,0,0,0,0,0,17,2,Oct-49,1,0,0,0,0,1,0,0,0,2012.4,1936.44,8.0,0.0,1.0,0,3.9226622048707958,7.5691227930060565,7.607580114295323,68,0.0,0,2.1972245773362196,0.0
JMAN_9747161,2023-01-20,5340.0,1,1,0,0,8,0,0,11,1,01-Sep,0,0,1,0,0,1,0,0,0,5340.0,5340.0,5.0,0.333333333,0.6,0,0.0,8.58316818033977,8.58316818033977,44,0.0,8,1.791759469228055,0.0
JMAN_9747161,2023-02-17,5340.0,1,1,0,0,10,0,0,12,1,01-Sep,0,0,1,0,0,1,0,0,0,5340.0,5340.0,5.0,0.333333333,0.6,0,0.0,8.58316818033977,8.58316818033977,48,0.0,10,1.791759469228055,0.0
JMAN_2463159,2023-02-24,1500.0,1,0,0,0,0,0,0,17,2,01-Sep,1,0,0,0,0,1,0,0,0,1776.0,1500.0,5.0,0.4,1.0,0,18.4,7.313886831633462,7.482681828154651,68,0.0,0,1.791759469228055,0.0
JMAN_2476133,2023-02-17,2352.0,1,1,0,0,10,0,0,17,1,Oct-49,0,0,1,0,0,1,0,0,0,2940.0,2352.0,4.0,0.0,1.0,0,25.0,7.763446388727362,7.9865049385539955,68,0.0,10,1.6094379124341003,0.0
JMAN_2481540,2023-01-20,36768.0,1,1,1,0,8,0,216,16,5,Oct-49,0,0,1,0,1,0,0,0,0,62544.0,36768.0,16.0,0.0625,1.0,0,70.10443864229765,10.512410377841734,11.043641576648842,64,0.0,8,2.833213344056216,0.0
JMAN_2464071,2023-02-17,1008.0,1,1,0,0,11,0,0,17,4,Oct-49,0,0,1,0,0,1,0,0,0,1260.0,1008.0,3.0,0.0,1.0,0,25.0,6.9167150203536085,7.13966033596492,68,0.0,11,1.3862943611198906,0.0
JMAN_9001964,2023-02-17,1416.0,1,1,0,0,10,0,0,13,6,Oct-49,0,0,1,0,0,1,0,0,0,1656.0,1416.0,2.0,0.0,1.0,1,16.94915254237288,7.256297239690681,7.4127640174265625,52,0.0,10,1.0986122886681098,0.0
JMAN_2453288,2023-03-17,960.0,1,1,0,0,14,0,0,17,4,Oct-49,1,0,0,0,1,0,0,0,0,5340.0,960.0,1.0,1.0,1.0,0,456.25,6.8679744089702925,8.58316818033977,68,0.0,14,0.6931471805599453,0.0
JMAN_9006637,2023-01-20,1416.0,1,1,1,0,6,0,0,16,1,250 - 499,0,1,0,0,0,1,1,0,0,1416.0,1416.0,2.0,0.5,1.0,0,0.0,7.256297239690681,7.256297239690681,64,0.0,6,1.0986122886681098,0.0
JMAN_9023808,2023-02-03,660.0,0,0,0,0,8,0,0,17,4,50 - 99,1,0,0,0,1,0,0,0,0,720.0,660.0,11.0,0.272727273,1.0,0,9.090909090909092,6.493753839851686,6.580639137284949,68,0.0,8,2.4849066497880004,0.0
JMAN_9076870,2023-03-10,348.0,1,1,0,0,10,0,0,16,1,50 - 99,0,0,0,1,1,0,0,0,0,348.0,348.0,1.0,0.0,1.0,0,0.0,5.855071922202427,5.855071922202427,64,0.0,10,0.6931471805599453,0.0
JMAN_18410807,2023-03-10,2100.0,1,1,0,0,0,0,0,17,1,01-Sep,1,0,0,0,0,1,0,0,0,2100.0,2100.0,5.0,0.0,0.0,0,0.0,7.650168700845001,7.650168700845001,68,0.0,0,1.791759469228055,0.0
