id,score_date,current_arr,team_plus,pro_plus,ent_plus,csat_score,num_low_sev_outages,num_high_sev_outages,num_tickets_deflected,customer_age_quarters,product_counts,crm_employee_range,region_emea,region_apac,region_amer,region_latam,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,future_arr,current_arr.1,max_seats,agent_utilization,seat_utilization,churn
JMAN_9008538,2023-03-03,6242.4,1,1,0,100,0,0,0,17,2,100 - 249,1,0,0,0,0,1,1,0,0,6487.2,6242.4,10.0,0.0,1.0,0
JMAN_9096433,2023-02-03,13077.0,1,1,0,100,0,0,0,16,5,Oct-49,1,0,0,0,1,0,0,0,0,19472.76,13077.0,10.0,0.222222222,0.9,0
JMAN_9015281,2023-02-03,251.28,1,0,0,0,0,0,0,17,5,Oct-49,1,0,0,0,0,1,0,0,0,262.32,251.28,1.0,0.0,1.0,0
JMAN_18410841,2023-03-24,168.0,1,0,0,0,0,0,0,17,1,Oct-49,1,0,0,0,0,1,0,0,0,168.0,168.0,1.0,0.0,0.0,0
JMAN_9005295,2023-02-17,8940.0,1,1,1,0,10,0,0,14,3,01-Sep,0,0,1,0,0,1,0,0,0,8940.0,8940.0,5.0,0.666666667,0.6,1
JMAN_18410389,2023-02-10,228.0,1,0,0,0,0,0,0,17,1,01-Sep,0,0,0,1,0,1,0,0,0,228.0,228.0,1.0,0.0,0.0,0
JMAN_2444478,2023-02-03,108.0,0,0,0,0,10,0,0,17,3,01-Sep,0,0,1,0,0,1,0,0,0,132.0,108.0,1.0,0.0,1.0,0
JMAN_2444478,2023-03-03,108.0,0,0,0,0,11,0,0,17,3,01-Sep,0,0,1,0,0,1,0,0,0,132.0,108.0,1.0,0.0,1.0,0
JMAN_9015478,2023-03-17,72.6,0,0,0,0,14,0,0,17,2,01-Sep,1,0,0,0,0,1,0,0,0,76.08,72.6,1.0,0.0,1.0,0
JMAN_2235384,2023-03-31,1452.0,1,1,0,0,0,0,0,20,3,1000 - 4999,1,0,0,0,0,1,0,1,0,1848.0,1452.0,1.0,1.0,1.0,0
JMAN_9003568,2023-01-06,61452.36,1,1,1,100,0,0,22,16,2,250 - 499,1,0,0,0,0,1,1,0,0,540344.04,61452.36,239.0,0.108910891,0.845188285,0
JMAN_14624810,2023-02-10,4248.0,1,0,0,100,0,0,0,2,1,Oct-49,0,0,1,0,0,1,0,0,0,0.0,4248.0,6.0,0.0,1.0,1
JMAN_2393214,2023-01-20,60.0,0,0,0,0,9,0,0,16,4,01-Sep,0,0,1,0,0,1,0,0,0,60.0,60.0,1.0,1.0,1.0,0
JMAN_9221334,2023-03-10,32940.0,1,1,1,0,10,0,3,15,5,01-Sep,0,0,1,0,1,0,0,0,0,32940.0,32940.0,15.0,0.133333333,1.0,0
JMAN_9747161,2023-03-17,5340.0,1,1,0,0,10,0,0,12,1,01-Sep,0,0,1,0,0,1,0,0,0,5340.0,5340.0,5.0,0.25,0.8,0
JMAN_2479627,2023-03-24,16632.0,1,1,0,100,10,0,0,17,1,50 - 99,1,0,0,0,1,0,0,0,0,16632.0,16632.0,14.0,0.428571429,1.0,0
JMAN_11352880,2023-02-03,28584.0,1,1,0,100,0,0,6,6,2,Oct-49,0,0,1,0,0,1,1,0,0,37656.0,28584.0,12.0,0.636363636,0.916666667,0
JMAN_2460628,2023-02-10,6428.88,1,1,0,100,0,0,0,16,1,Oct-49,1,0,0,0,0,1,0,0,0,6553.44,6428.88,5.0,0.5,0.8,0
JMAN_2475069,2023-03-17,8319.0,1,1,1,0,0,0,0,16,7,Oct-49,1,0,0,0,0,1,0,0,0,8521.08,8319.0,1.0,0.0,1.0,0
JMAN_9042096,2023-01-13,10692.0,1,1,0,100,2,0,7,16,1,250 - 499,0,1,0,0,0,1,1,0,0,13068.0,10692.0,9.0,0.555555556,1.0,0
JMAN_12452245,2023-01-27,708.0,1,0,0,100,6,0,0,4,1,5000+,0,1,0,0,0,1,0,1,0,0.0,708.0,1.0,0.0,1.0,1
JMAN_2481392,2023-02-24,300.0,1,0,0,0,12,0,0,17,5,01-Sep,0,0,1,0,0,1,0,0,0,300.0,300.0,1.0,1.0,1.0,0
JMAN_9097813,2023-01-06,2148.0,1,1,1,0,4,0,0,16,3,01-Sep,0,0,1,0,0,1,0,0,0,2148.0,2148.0,1.0,0.0,1.0,0
JMAN_9007515,2023-01-13,1500.0,1,1,0,0,2,0,0,15,1,01-Sep,0,1,0,0,0,1,0,0,0,1500.0,1500.0,1.0,1.0,1.0,0
JMAN_16158754,2023-02-03,1044.0,1,1,0,0,5,1,0,17,1,50 - 99,0,0,1,0,1,0,0,0,0,1044.0,1044.0,3.0,0.0,1.0,0
JMAN_15078349,2023-03-31,433.08,1,1,0,0,0,0,0,17,2,100 - 249,0,0,1,0,1,0,0,0,0,443.64,433.08,1.0,0.0,1.0,0
JMAN_2467430,2023-01-20,60.0,0,0,0,0,6,0,0,17,5,100 - 249,0,1,0,0,1,0,0,0,0,60.0,60.0,1.0,0.0,1.0,0
JMAN_9022776,2023-03-03,1860.0,1,1,0,0,0,0,0,17,4,01-Sep,1,0,0,0,0,1,0,0,0,1932.96,1860.0,2.0,0.5,1.0,0
JMAN_2457694,2023-01-13,756.0,1,0,0,0,5,0,0,16,5,01-Sep,1,0,0,0,0,1,0,0,0,756.0,756.0,2.0,0.5,1.0,0
JMAN_2325725,2023-01-06,115.8,0,0,0,0,5,0,0,16,2,01-Sep,1,0,0,0,0,1,0,0,0,117.12,115.8,1.0,0.0,1.0,0
JMAN_2464667,2023-01-13,108.0,0,0,0,0,5,0,0,13,4,01-Sep,0,1,0,0,0,1,0,0,0,108.0,108.0,1.0,0.0,1.0,0
JMAN_9038279,2023-02-03,180384.72,1,1,1,100,0,0,0,15,7,5000+,1,0,0,0,0,1,0,1,0,0.0,180384.72,107.0,0.083333333,0.785046729,1
JMAN_2372168,2023-03-17,300.0,1,0,0,0,8,1,0,17,2,01-Sep,0,0,1,0,0,1,0,0,0,300.0,300.0,1.0,0.0,1.0,0
JMAN_18410387,2023-01-27,840.0,1,1,0,0,0,0,0,17,1,01-Sep,1,0,0,0,0,1,0,0,0,840.0,840.0,2.0,0.0,0.0,0
JMAN_18391384,2023-03-24,168.0,1,0,0,0,0,0,0,17,1,01-Sep,1,0,0,0,0,1,0,0,0,168.0,168.0,1.0,0.0,0.0,0
JMAN_2446740,2023-01-06,912.0,1,0,0,0,0,0,0,16,5,01-Sep,1,0,0,0,0,1,0,0,0,912.0,912.0,4.0,0.0,1.0,0
JMAN_2476016,2023-03-17,8916.0,1,1,0,0,10,0,0,17,5,Oct-49,0,0,1,0,0,1,0,0,0,108.0,8916.0,8.0,0.375,1.0,1
JMAN_9023355,2023-02-10,300.0,1,0,0,0,8,0,0,17,5,Oct-49,1,0,0,0,0,1,0,0,0,300.0,300.0,1.0,0.0,1.0,0
JMAN_9020594,2023-01-27,540.0,0,0,0,0,6,0,0,17,3,Oct-49,0,1,0,0,0,1,0,0,0,660.0,540.0,9.0,0.444444444,1.0,0
JMAN_14567352,2023-01-27,2352.0,1,1,0,0,8,0,0,3,1,Oct-49,0,0,1,0,0,1,0,0,0,2352.0,2352.0,4.0,0.0,1.0,0
JMAN_2457657,2023-02-03,399.0,0,0,0,0,9,1,0,17,3,01-Sep,1,0,0,0,0,1,0,0,0,277.8,399.0,3.0,0.0,1.0,1
JMAN_16385554,2023-02-17,4200.0,1,1,0,0,3,0,0,17,1,Oct-49,1,0,0,0,0,1,0,0,0,4200.0,4200.0,10.0,0.0,1.0,1
JMAN_18410391,2023-03-03,228.0,1,0,0,0,0,0,0,17,1,Oct-49,1,0,0,0,0,1,0,0,0,228.0,228.0,1.0,0.0,0.0,0
JMAN_9258120,2023-02-03,1308.0,1,1,0,0,7,1,0,11,3,01-Sep,0,0,1,0,0,1,0,0,0,1668.0,1308.0,1.0,1.0,1.0,0
JMAN_9258120,2023-01-20,1308.0,1,1,0,0,7,1,0,10,3,01-Sep,0,0,1,0,0,1,0,0,0,1308.0,1308.0,1.0,1.0,1.0,0
JMAN_12537206,2023-03-17,6083.04,1,1,0,100,0,0,6,4,1,Oct-49,0,0,1,0,0,1,0,0,0,12420.0,6083.04,7.0,0.571428571,1.0,0
